date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:39:10	20127/20127	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%221426a7-4e9f-52552207a8680%22	http://demos.bootdey.com/dayday/bootstrap.3.3.6/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/bootstrap.3.3.6/fonts/glyphicons-halflings-regulard41d.eot	(from http://demos.bootdey.com/dayday/bootstrap.3.3.6/css/bootstrap.min.css)
16:39:10	20127/20127	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%221426a7-4e9f-52552207a8680%22	http://demos.bootdey.com/dayday/bootstrap.3.3.6/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/bootstrap.3.3.6/fonts/glyphicons-halflings-regular.eot	(from http://demos.bootdey.com/dayday/bootstrap.3.3.6/css/bootstrap.min.css)
16:39:10	18028/18028	U-----	200	untouched ('OK')	text/html	etag:%221426b0-466c-52552207a8680%22	http://demos.bootdey.com/dayday/bootstrap.3.3.6/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/bootstrap.3.3.6/fonts/glyphicons-halflings-regular.html	(from http://demos.bootdey.com/dayday/bootstrap.3.3.6/css/bootstrap.min.css)
16:39:11	45404/45404	U-----	200	untouched ('')	application/x-font-ttf	etag:%221426ac-b15c-52552207a8680%22	http://demos.bootdey.com/dayday/bootstrap.3.3.6/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/bootstrap.3.3.6/fonts/glyphicons-halflings-regular.ttf	(from http://demos.bootdey.com/dayday/bootstrap.3.3.6/css/bootstrap.min.css)
16:39:11	23424/23424	U-----	200	untouched ('')	application/x-font-woff	etag:%221426ae-5b80-52552207a8680%22	http://demos.bootdey.com/dayday/bootstrap.3.3.6/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/bootstrap.3.3.6/fonts/glyphicons-halflings-regular.woff	(from http://demos.bootdey.com/dayday/bootstrap.3.3.6/css/bootstrap.min.css)
16:39:11	108738/108738	U-----	200	untouched ('OK')	image/svg+xml	etag:%221426aa-1a8c2-52552207a8680%22	http://demos.bootdey.com/dayday/bootstrap.3.3.6/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/bootstrap.3.3.6/fonts/glyphicons-halflings-regular.svg	(from http://demos.bootdey.com/dayday/bootstrap.3.3.6/css/bootstrap.min.css)
16:39:11	75220/75220	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%221426c8-125d4-531decbf6c080%22	http://demos.bootdey.com/dayday/font-awesome.4.6.1/fonts/fontawesome-webfont.eot?v=4.6.1	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/font-awesome.4.6.1/fonts/fontawesome-webfont914c.eot	(from http://demos.bootdey.com/dayday/font-awesome.4.6.1/css/font-awesome.min.css)
16:39:12	75220/75220	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%221426c8-125d4-531decbf6c080%22	http://demos.bootdey.com/dayday/font-awesome.4.6.1/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/font-awesome.4.6.1/fonts/fontawesome-webfontd41d.eot	(from http://demos.bootdey.com/dayday/font-awesome.4.6.1/css/font-awesome.min.css)
16:39:12	70728/70728	U-----	200	untouched ('OK')	text/html	etag:%221426d1-11448-531decbf6c080%22	http://demos.bootdey.com/dayday/font-awesome.4.6.1/fonts/fontawesome-webfont.woff2?v=4.6.1	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/font-awesome.4.6.1/fonts/fontawesome-webfont914c.html	(from http://demos.bootdey.com/dayday/font-awesome.4.6.1/css/font-awesome.min.css)
16:39:13	150920/150920	U-----	200	untouched ('')	application/x-font-ttf	etag:%221426cd-24d88-531decbf6c080%22	http://demos.bootdey.com/dayday/font-awesome.4.6.1/fonts/fontawesome-webfont.ttf?v=4.6.1	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/font-awesome.4.6.1/fonts/fontawesome-webfont914c.ttf	(from http://demos.bootdey.com/dayday/font-awesome.4.6.1/css/font-awesome.min.css)
